,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,1,178.7,8/3/2019 23:12,8/3/2019 23:50,2280,936.0,1278.9,3,34290,11430,CARBON,0,1,0,5160,14,0,0,0,3,34290,11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34290,11430,0,누락없음,2160,8/3/2019,야간,토,안겹침,이상없음,0,0,C,평일,0
1,2,146.2,8/12/2019 16:18,8/12/2019 16:41,1380,739.6,1273.6,9,58230,6470,CARBON,0,1,0,1437360,8,0,0,0,9,58230,6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,58230,6470,0,누락없음,1320,8/12/2019,야간,월,안겹침,이상없음,6,0,C,주말,0
2,1,191.0,8/14/2019 18:54,8/14/2019 19:35,2460,794.1,1261.5,3,19410,6470,CARBON,0,1,0,540,21,0,0,0,3,19410,6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19410,6470,0,누락없음,2280,8/15/2019,주간,수,안겹침,이상없음,8,0,C,평일,0
3,1,86.1,8/19/2019 23:21,8/19/2019 23:41,1200,810.7,1273.1,4,31590,8450,CARBON,0,1,0,540,24,0,0,0,4,31590,8450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31590,8450,0,누락없음,1140,8/19/2019,야간,월,안겹침,이상없음,5,0,C,평일,0
4,1,21.4,8/22/2019 18:16,8/22/2019 18:21,300,958.0,1095.0,2,18860,9430,SUS,0,0,1,540,28,0,0,0,0,0,0,2,18860,9430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18860,9430,0,누락없음,240,8/23/2019,주간,목,안겹침,이상없음,3,0,S,평일,0
5,1,36.5,8/26/2019 10:37,8/26/2019 10:54,1020,1160.7,1203.2,1,23100,23100,SUS,0,0,1,540,30,0,0,0,0,0,0,1,23100,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23100,23100,0,누락없음,960,8/26/2019,야간,월,안겹침,이상없음,2,0,S,평일,0
6,2,345.6,8/25/2019 0:47,8/25/2019 3:38,10260,491.1,660.4,7,75090,12310,CARBON,0,1,0,73380,15,0,0,0,7,75090,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75090,12310,0,누락없음,6300,8/26/2019,주간,일,안겹침,이상없음,7,0,C,주말,0
7,4,1670.0,8/27/2019 3:59,8/27/2019 6:36,9420,708.2,1245.2,9,89550,15190,CARBON,0,1,0,4320,30,0,0,0,9,89550,15190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,89550,15190,0,누락없음,9360,8/27/2019,야간,화,안겹침,이상없음,7,0,C,평일,0
8,2,532.3,8/28/2019 18:19,8/28/2019 19:18,3540,734.1,1264.4,7,47110,6730,CARBON,0,1,0,1320,18,0,0,0,7,47110,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47110,6730,0,누락없음,3480,8/29/2019,주간,수,안겹침,이상없음,2,0,C,평일,0
9,1,471.9,8/29/2019 7:00,8/29/2019 8:37,5820,807.0,1256.6,5,29100,5820,CARBON,0,1,0,1680,33,0,0,0,5,29100,5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29100,5820,0,누락없음,5760,8/29/2019,야간,목,안겹침,이상없음,7,0,C,평일,0
10,4,1264.0,8/29/2019 3:35,8/29/2019 5:37,7320,647.4,1248.1,10,75240,7750,CARBON,0,1,0,4200,32,0,0,0,10,75240,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,75240,7750,0,누락없음,7080,8/29/2019,야간,목,안겹침,이상없음,6,0,C,평일,0
11,1,496.1,9/5/2019 6:41,9/5/2019 8:25,6240,780.8,1262.1,4,29040,7260,CARBON,0,1,0,780,36,0,0,0,4,29040,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29040,7260,0,누락없음,6180,9/5/2019,야간,목,안겹침,이상없음,5,0,C,평일,0
12,1,418.4,9/6/2019 7:01,9/6/2019 8:28,5220,851.8,1255.9,4,29040,7260,CARBON,0,1,0,720,37,0,0,0,4,29040,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29040,7260,0,누락없음,5160,9/6/2019,야간,금,안겹침,이상없음,4,0,C,평일,0
13,3,306.1,9/7/2019 11:24,9/7/2019 11:58,2040,628.1,1228.6,5,79500,17600,SUS,0,0,1,1140,22,0,0,0,0,0,0,5,79500,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79500,17600,0,누락없음,1980,9/7/2019,야간,토,안겹침,이상없음,10,0,S,주말,0
