,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,평균온도,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,1,63.3,2020-04-26 08:08:00,2020-04-26 09:47:00,5940.0,659.9,659.9,9,50580.0,5620,CARBON,0,1,0,28.0,,0,0.0,0,9,50580.0,5620,이상없음,0
1,1,216.6,2020-06-28 05:14:00,2020-06-28 07:45:00,9060.0,711.6,707.0,4,28320.0,8520,ALLOY,1,0,0,56.0,,4,28320.0,8520,0,0.0,0,이상없음,0
2,1,1841.0,2020-03-04 07:32:00,2020-03-04 20:11:00,45540.0,1258.9,1265.0,4,32960.0,8240,CARBON,0,1,0,1.0,1257.5400657894736,0,0.0,0,4,32960.0,8240,이상없음,0
3,1,874.7000000001863,2020-03-04 20:25:00,2020-03-05 04:35:00,29400.0,1264.7,1284.8,4,32960.0,8240,CARBON,0,1,0,1.0,1278.923421588595,0,0.0,0,4,32960.0,8240,이상없음,0
4,1,25.40000000037253,2020-03-05 04:50:00,2020-03-05 05:07:00,1020.0,1277.6,1284.6,4,32960.0,8240,CARBON,0,1,0,1.0,1280.7944444444445,0,0.0,0,4,32960.0,8240,이상없음,0
5,1,16.299999999813735,2020-03-05 05:17:00,2020-03-05 05:27:00,600.0,1285.1,1285.4,4,32960.0,8240,CARBON,0,1,0,1.0,1279.8818181818178,0,0.0,0,4,32960.0,8240,이상없음,0
6,1,94.7000000001863,2020-03-06 02:39:00,2020-03-06 03:41:00,3720.0,1282.1,1277.8,7,56330.0,8240,CARBON,0,1,0,2.0,1273.2714285714285,0,0.0,0,7,56330.0,8240,이상없음,0
7,1,12.699999999254944,2020-03-06 04:13:00,2020-03-06 04:21:00,480.0,1280.5,1283.3,7,56330.0,8240,CARBON,0,1,0,2.0,1278.1333333333332,0,0.0,0,7,56330.0,8240,이상없음,0
8,1,12.799999999813735,2020-03-06 04:30:00,2020-03-06 04:37:00,420.0,1280.5,1282.7,7,56330.0,8240,CARBON,0,1,0,2.0,1279.0375,0,0.0,0,7,56330.0,8240,이상없음,0
9,1,116.8999999994412,2020-03-06 04:53:00,2020-03-06 06:15:00,4920.0,1283.0,1281.1,7,56330.0,8240,CARBON,0,1,0,2.0,1275.5614457831325,0,0.0,0,7,56330.0,8240,이상없음,0
10,1,40.700000000186265,2020-03-09 08:30:00,2020-03-09 08:43:00,780.0,1245.0,1264.2,7,57050.0,8250,CARBON,0,1,0,4.0,1250.5857142857142,2,15800.0,7900,5,41250.0,8250,이상없음,0
11,1,373.5,2020-03-09 08:55:00,2020-03-09 11:27:00,9120.0,1259.2,1264.0,7,57050.0,8250,CARBON,0,1,0,4.0,1252.9588235294118,2,15800.0,7900,5,41250.0,8250,이상없음,0
12,1,21.0,2020-03-09 11:37:00,2020-03-09 11:45:00,480.0,1259.4,1263.4,7,57050.0,8250,CARBON,0,1,0,4.0,1253.5,2,15800.0,7900,5,41250.0,8250,이상없음,0
13,1,627.3000000007453,2020-03-09 12:02:00,2020-03-09 17:53:00,21060.0,1247.1,1262.4,7,57050.0,8250,CARBON,0,1,0,4.0,1256.3139204545455,2,15800.0,7900,5,41250.0,8250,이상없음,0
14,1,370.8999999994412,2020-03-09 18:08:00,2020-03-09 22:05:00,14220.0,1248.8,1261.7,7,57050.0,8250,CARBON,0,1,0,4.0,1257.1613445378146,2,15800.0,7900,5,41250.0,8250,이상없음,0
15,1,1.7999999998137357,2020-03-09 22:18:00,2020-03-09 22:21:00,180.0,1248.5,1264.3,7,57050.0,8250,CARBON,0,1,0,4.0,1255.225,2,15800.0,7900,5,41250.0,8250,이상없음,0
16,1,505.9000000003725,2020-03-09 22:35:00,2020-03-10 04:11:00,20160.0,1264.1,1265.4,7,57050.0,8250,CARBON,0,1,0,4.0,1256.1780415430267,2,15800.0,7900,5,41250.0,8250,이상없음,0
17,1,14.0,2020-03-10 04:26:00,2020-03-10 04:35:00,540.0,1247.3,1267.5,7,57050.0,8250,CARBON,0,1,0,4.0,1254.89,2,15800.0,7900,5,41250.0,8250,이상없음,0
18,1,33.29999999981373,2020-03-10 04:50:00,2020-03-10 05:11:00,1260.0,1251.7,1266.7,7,57050.0,8250,CARBON,0,1,0,4.0,1256.4545454545455,2,15800.0,7900,5,41250.0,8250,이상없음,0
19,1,17.600000000558797,2020-03-10 05:29:00,2020-03-10 05:41:00,720.0,1266.7,1265.7,7,57050.0,8250,CARBON,0,1,0,4.0,1257.2923076923078,2,15800.0,7900,5,41250.0,8250,이상없음,0
20,1,2020.7000000001865,2020-03-10 09:08:00,2020-03-11 02:53:00,63900.0,1253.6,1262.5,6,39795.0,8611,CARBON,0,1,0,5.0,1255.6554409005628,1,7820.0,7820,5,31975.0,8611,이상없음,0
21,1,5.299999999813736,2020-03-11 03:05:00,2020-03-11 03:09:00,240.0,1261.3,1261.7,6,39795.0,8611,CARBON,0,1,0,5.0,1256.78,1,7820.0,7820,5,31975.0,8611,이상없음,0
22,1,17.799999999813735,2020-03-11 03:22:00,2020-03-11 03:31:00,540.0,1253.6,1263.3,6,39795.0,8611,CARBON,0,1,0,5.0,1258.59,1,7820.0,7820,5,31975.0,8611,이상없음,0
23,1,10.700000000186263,2020-03-11 03:42:00,2020-03-11 03:47:00,300.0,1276.9,1283.4,6,39795.0,8611,CARBON,0,1,0,5.0,1279.8000000000004,1,7820.0,7820,5,31975.0,8611,이상없음,0
24,1,40.700000000186265,2020-03-11 03:58:00,2020-03-11 04:19:00,1260.0,1280.1,1282.9,6,39795.0,8611,CARBON,0,1,0,5.0,1279.2181818181818,1,7820.0,7820,5,31975.0,8611,이상없음,0
25,1,26.6000000005588,2020-03-11 04:44:00,2020-03-11 04:54:00,600.0,1257.6,1283.3,6,39795.0,8611,CARBON,0,1,0,5.0,1276.9363636363635,1,7820.0,7820,5,31975.0,8611,이상없음,0
26,1,17.700000000186265,2020-03-11 05:10:00,2020-03-11 05:17:00,420.0,1241.4,1279.8,6,39795.0,8611,CARBON,0,1,0,5.0,1264.0124999999996,1,7820.0,7820,5,31975.0,8611,이상없음,0
27,1,702.6000000005588,2020-03-16 10:39:00,2020-03-16 17:53:00,26040.0,1257.9,1259.4,9,50130.0,5570,CARBON,0,1,0,6.0,1255.8763218390804,0,0.0,0,9,50130.0,5570,이상없음,0
28,1,656.7000000001863,2020-03-16 18:11:00,2020-03-17 01:45:00,27240.0,1262.0,1283.0,9,50130.0,5570,CARBON,0,1,0,6.0,1255.3272527472525,0,0.0,0,9,50130.0,5570,이상없음,0
29,1,48.40000000037254,2020-03-17 02:09:00,2020-03-17 02:39:00,1800.0,1281.5,1283.3,9,50130.0,5570,CARBON,0,1,0,6.0,1276.825806451613,0,0.0,0,9,50130.0,5570,이상없음,0
30,1,12.5,2020-03-17 02:45:00,2020-03-17 02:51:00,360.0,1276.8,1286.7,9,50130.0,5570,CARBON,0,1,0,6.0,1276.1,0,0.0,0,9,50130.0,5570,이상없음,0
31,1,290.0,2020-03-17 03:32:00,2020-03-17 06:13:00,9660.0,1270.6,1283.8,9,50130.0,5570,CARBON,0,1,0,6.0,1274.424074074074,0,0.0,0,9,50130.0,5570,이상없음,0
32,1,166.80000000074506,2020-03-17 14:37:00,2020-03-17 16:06:00,5340.0,1263.4,1284.4,3,23630.0,13930,CARBON,0,1,0,7.0,1274.9533333333334,0,0.0,0,3,23630.0,13930,이상없음,0
33,1,24.39999999944121,2020-03-17 16:16:00,2020-03-17 16:28:00,720.0,1282.2,1285.0,3,23630.0,13930,CARBON,0,1,0,7.0,1275.0153846153846,0,0.0,0,3,23630.0,13930,이상없음,0
34,1,253.0,2020-03-17 16:39:00,2020-03-17 19:30:00,10260.0,1267.7,1284.2,3,23630.0,13930,CARBON,0,1,0,7.0,1276.9377906976745,0,0.0,0,3,23630.0,13930,이상없음,0
35,1,5.2000000001862645,2020-03-17 19:36:00,2020-03-17 19:38:00,120.0,1282.0,1283.7,3,23630.0,13930,CARBON,0,1,0,7.0,1278.0,0,0.0,0,3,23630.0,13930,이상없음,0
36,1,36.89999999944121,2020-03-17 19:48:00,2020-03-17 20:12:00,1440.0,1281.2,1284.0,3,23630.0,13930,CARBON,0,1,0,7.0,1276.984,0,0.0,0,3,23630.0,13930,이상없음,0
37,1,422.2000000001863,2020-03-17 20:48:00,2020-03-18 01:46:00,17880.0,1281.7,1279.5,3,23630.0,13930,CARBON,0,1,0,7.0,1276.4086956521735,0,0.0,0,3,23630.0,13930,이상없음,0
38,1,76.29999999981374,2020-03-18 02:16:00,2020-03-18 03:02:00,2760.0,1274.1,1285.1,3,23630.0,13930,CARBON,0,1,0,7.0,1277.6468085106385,0,0.0,0,3,23630.0,13930,이상없음,0
39,1,7.0,2020-03-19 20:29:00,2020-03-19 20:33:00,240.0,1264.3,1264.7,8,59690.0,9760,SUS,0,0,1,8.0,1256.16,4,35450.0,9760,4,24240.0,6090,이상없음,0
40,1,12.299999999813735,2020-03-19 20:49:00,2020-03-19 20:55:00,360.0,1265.4,1265.8,8,59690.0,9760,SUS,0,0,1,8.0,1256.0285714285715,4,35450.0,9760,4,24240.0,6090,이상없음,0
41,1,14.099999999627473,2020-03-19 21:24:00,2020-03-19 21:33:00,540.0,1243.7,1266.8,8,59690.0,9760,SUS,0,0,1,8.0,1253.4699999999998,4,35450.0,9760,4,24240.0,6090,이상없음,0
42,1,552.7999999998137,2020-03-19 21:53:00,2020-03-20 03:47:00,21240.0,1265.6,1259.5,8,59690.0,9760,SUS,0,0,1,8.0,1254.0712676056335,4,35450.0,9760,4,24240.0,6090,이상없음,0
43,1,26.800000000745047,2020-03-20 04:14:00,2020-03-20 04:29:00,900.0,1269.8,1285.3,8,59690.0,9760,SUS,0,0,1,8.0,1274.93125,4,35450.0,9760,4,24240.0,6090,이상없음,0
44,1,19.599999999627467,2020-03-20 04:39:00,2020-03-20 04:51:00,720.0,1284.9,1286.1,8,59690.0,9760,SUS,0,0,1,8.0,1274.7538461538459,4,35450.0,9760,4,24240.0,6090,이상없음,0
45,1,7.2000000001862645,2020-03-20 05:02:00,2020-03-20 05:07:00,300.0,1268.1,1286.8,8,59690.0,9760,SUS,0,0,1,8.0,1274.3666666666666,4,35450.0,9760,4,24240.0,6090,이상없음,0
46,1,102.19999999925491,2020-03-20 05:31:00,2020-03-20 06:27:00,3360.0,1282.7,1285.3,8,59690.0,9760,SUS,0,0,1,8.0,1273.9421052631578,4,35450.0,9760,4,24240.0,6090,이상없음,0
47,1,28.1000000005588,2020-03-20 10:50:00,2020-03-20 10:59:00,540.0,1223.2,1260.3,3,29060.0,10530,ALLOY,1,0,0,9.0,1240.9999999999998,1,8000.0,8000,2,21060.0,10530,이상없음,0
48,1,56.200000000186265,2020-03-20 11:07:00,2020-03-20 11:25:00,1080.0,1256.9,1267.5,3,29060.0,10530,ALLOY,1,0,0,9.0,1250.2631578947369,1,8000.0,8000,2,21060.0,10530,이상없음,0
49,1,8.799999999813734,2020-03-20 11:28:00,2020-03-20 11:31:00,180.0,1243.5,1265.7,3,29060.0,10530,ALLOY,1,0,0,9.0,1251.925,1,8000.0,8000,2,21060.0,10530,이상없음,0
50,1,963.5,2020-03-20 11:34:00,2020-03-20 20:21:00,31620.0,1245.3,1260.6,3,29060.0,10530,ALLOY,1,0,0,9.0,1254.0820075757574,1,8000.0,8000,2,21060.0,10530,이상없음,0
51,1,303.0,2020-03-20 20:38:00,2020-03-20 23:49:00,11460.0,1246.5,1287.5,3,29060.0,10530,ALLOY,1,0,0,9.0,1256.4192708333333,1,8000.0,8000,2,21060.0,10530,이상없음,0
52,1,700.6000000005588,2020-03-23 06:37:00,2020-03-23 09:50:00,11580.0,1140.6,1265.6,4,43730.0,13930,CARBON,0,1,0,10.0,1236.792268041237,1,9200.0,9200,3,34530.0,13930,이상없음,0
53,1,833.1999999992549,2020-03-23 12:09:00,2020-03-23 15:26:00,11820.0,1259.7,1286.2,4,43730.0,13930,CARBON,0,1,0,10.0,1274.7964646464648,1,9200.0,9200,3,34530.0,13930,이상없음,0
54,1,276.59999999962747,2020-03-23 15:42:00,2020-03-23 18:06:00,8640.0,1286.5,1286.1,4,43730.0,13930,CARBON,0,1,0,10.0,1275.2641379310346,1,9200.0,9200,3,34530.0,13930,이상없음,0
55,1,22.70000000018627,2020-03-23 18:32:00,2020-03-23 18:44:00,720.0,1288.0,1286.4,4,43730.0,13930,CARBON,0,1,0,10.0,1276.9461538461535,1,9200.0,9200,3,34530.0,13930,이상없음,0
56,1,148.20000000018626,2020-03-23 18:56:00,2020-03-23 20:20:00,5040.0,1285.9,1285.3,4,43730.0,13930,CARBON,0,1,0,10.0,1274.4329411764704,1,9200.0,9200,3,34530.0,13930,이상없음,0
57,1,26.20000000018627,2020-03-23 20:34:00,2020-03-23 20:48:00,840.0,1285.9,1286.0,4,43730.0,13930,CARBON,0,1,0,10.0,1275.68,1,9200.0,9200,3,34530.0,13930,이상없음,0
58,1,54.100000000558786,2020-03-23 21:04:00,2020-03-23 21:30:00,1560.0,1288.6,1286.2,4,43730.0,13930,CARBON,0,1,0,10.0,1274.8444444444447,1,9200.0,9200,3,34530.0,13930,이상없음,0
59,1,66.59999999962747,2020-03-23 21:46:00,2020-03-23 22:24:00,2280.0,1286.5,1286.7,4,43730.0,13930,CARBON,0,1,0,10.0,1274.8000000000004,1,9200.0,9200,3,34530.0,13930,이상없음,0
60,1,88.7999999998137,2020-03-24 06:24:00,2020-03-24 06:44:00,1200.0,1189.8,1211.9,8,62880.0,8030,ALLOY,1,0,0,11.0,1191.9238095238095,2,15120.0,7560,6,47760.0,8030,이상없음,0
