,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,3,2210.5,8/2/2019 23:49,8/3/2019 7:13,26640,127.0,1252.7,3,33870,13080,CARBON,0,1,0,620640,16,0,0,0,3,33870,13080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33870,13080,0,누락없음,19260,8/3/2019,야간,금,안겹침,이상없음,12,0,C,평일,0
1,5,1622.5,8/8/2019 7:03,8/8/2019 10:31,12480,727.4,1253.5,8,48890,6730,CARBON,0,1,0,1860,13,0,0,0,8,48890,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48890,6730,0,누락없음,12300,8/8/2019,야간,목,안겹침,이상없음,7,0,C,평일,0
2,1,697.7,8/20/2019 14:04,8/20/2019 19:30,19560,1163.2,1263.5,2,16140,8650,CARBON,0,1,0,480,26,0,0,0,2,16140,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16140,8650,0,누락없음,19440,8/21/2019,주간,화,안겹침,이상없음,2,0,C,평일,0
3,5,4813.6,8/22/2019 21:09,8/23/2019 9:18,43740,145.2,1251.5,3,45570,15190,CARBON,0,1,0,146760,20,0,0,0,3,45570,15190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45570,15190,0,누락없음,43200,8/23/2019,야간,목,안겹침,이상없음,1,0,C,평일,0
4,4,831.0,8/24/2019 9:10,8/25/2019 1:38,59280,389.6,655.2,10,82860,12310,CARBON,0,1,0,63180,29,0,0,0,10,82860,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,82860,12310,0,누락없음,19920,8/26/2019,야간,토,안겹침,이상없음,8,0,C,주말,0
5,4,2491.0,8/25/2019 7:27,8/25/2019 16:40,33180,650.0,1253.6,10,82860,12310,CARBON,0,1,0,20940,29,0,0,0,10,82860,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,82860,12310,0,누락없음,-6180,8/26/2019,야간,일,겹침,이상없음,10,10,C,주말,0
6,2,345.6,8/25/2019 0:47,8/25/2019 3:38,10260,491.1,660.4,7,75090,12310,CARBON,0,1,0,73380,15,0,0,0,7,75090,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75090,12310,0,누락없음,6300,8/26/2019,주간,일,안겹침,이상없음,7,0,C,주말,0
7,2,2304.8,8/25/2019 9:27,8/25/2019 18:37,33000,649.1,1253.6,7,75090,12310,CARBON,0,1,0,20940,15,0,0,0,7,75090,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75090,12310,0,누락없음,29040,8/26/2019,주간,일,겹침,이상없음,7,7,C,주말,0
8,4,1670.0,8/27/2019 3:59,8/27/2019 6:36,9420,708.2,1245.2,9,89550,15190,CARBON,0,1,0,4320,30,0,0,0,9,89550,15190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,89550,15190,0,누락없음,9360,8/27/2019,야간,화,안겹침,이상없음,7,0,C,평일,0
9,1,471.9,8/29/2019 7:00,8/29/2019 8:37,5820,807.0,1256.6,5,29100,5820,CARBON,0,1,0,1680,33,0,0,0,5,29100,5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29100,5820,0,누락없음,5760,8/29/2019,야간,목,안겹침,이상없음,7,0,C,평일,0
