,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,open,0.0,0.0,,,,,,,7.199999999254942,1,,,,,[],2020-03-02 06:18:00,1175.6,,,,,2020-03-02 06:20:00,1128.7,,,,
1,reheat,0.0,0.0,,,,,,,43.0,1,,,,0.0,[],2020-03-02 06:20:00,1128.7,,,,,2020-03-02 06:28:00,,,,,
2,open,0.0,0.0,,,,,,,7.2000000001862645,1,,,,,[],2020-03-02 06:28:00,1180.1,,,,,2020-03-02 06:30:00,1138.1,,,,
3,reheat,0.0,0.0,,,,,,,362.1000000005588,1,,,,0.0,[],2020-03-02 06:30:00,1138.1,,,,,2020-03-02 07:35:00,,,,,
4,hold,0.0,0.0,,,,,,,708.6999999992549,1,,,,,[],2020-03-02 07:35:00,1254.1,,,,,2020-03-02 10:44:00,1254.5,,,1252.9715789473685,
5,open,0.0,0.0,,,,,,,17.800000000745058,1,,,,,[],2020-03-02 10:44:00,1254.5,,,,,2020-03-02 10:52:00,969.1,,,,
6,reheat,0.0,0.0,,,,,,,28.29999999981373,1,,,,0.0,[],2020-03-02 10:52:00,969.1,,,,,2020-03-02 10:59:00,,,,,
7,hold,0.0,0.0,,,,,,,1805.7999999998135,1,,,,,[],2020-03-02 10:59:00,1253.5,,,,,2020-03-03 04:48:00,1258.5,,,1255.84,
8,open,0.0,0.0,,,,,,,3.599999999627471,1,,,,,[],2020-03-03 04:48:00,1258.5,,,,,2020-03-03 04:52:00,1082.9,,,,
9,reheat,0.0,0.0,,,,,,,25.0,1,,,,0.0,[],2020-03-03 04:52:00,1082.9,,,,,2020-03-03 05:01:00,,,,,
10,hold,0.0,0.0,,,,,,,123.6000000005588,1,,,,,[],2020-03-03 05:01:00,1263.6,,,,,2020-03-03 06:14:00,1287.4,,,1275.7918918918915,
11,open,0.0,0.0,,,,,,,3.599999999627471,1,,,,,[],2020-03-03 06:14:00,1287.4,,,,,2020-03-03 06:17:00,1099.0,,,,
12,reheat,0.0,0.0,,,,,,,17.900000000372533,1,,,,0.0,[],2020-03-03 06:17:00,1099.0,,,,,2020-03-03 06:24:00,,,,,
13,hold,0.0,0.0,,,,,,,3.599999999627471,1,,,,,[],2020-03-03 06:24:00,1282.8,,,,,2020-03-03 06:26:00,1284.2,,,1277.6,
14,open,0.0,0.0,,,,,,,14.400000000372527,1,,,,,[],2020-03-03 06:26:00,1284.2,,,,,2020-03-03 06:35:00,1149.1,,,,
15,reheat,0.0,0.0,,,,,,,17.899999999441203,1,,,,2.0,[],2020-03-03 06:35:00,1149.1,,,,,2020-03-03 06:44:00,,,,,
16,hold,0.0,0.0,,,,,,,5.400000000372528,1,,,,,[],2020-03-03 06:44:00,1287.5,,,,,2020-03-03 06:46:00,1284.4,,,1282.5666666666666,
17,open,0.0,0.0,,,,,,,12.5,1,,,,,[],2020-03-03 06:46:00,1284.4,,,,,2020-03-03 06:54:00,1202.3,,,,
18,reheat,0.0,0.0,,,,,,,16.200000000186265,1,,,,1.0,[],2020-03-03 06:54:00,1202.3,,,,,2020-03-03 07:02:00,,,,,
19,hold,0.0,0.0,,,,,,,12.5,1,,,,,[],2020-03-03 07:02:00,1287.0,,,,,2020-03-03 07:08:00,1282.4,,,1275.6857142857139,
20,open,0.0,0.0,,,,,,,9.0,1,,,,,[],2020-03-03 07:08:00,1282.4,,,,,2020-03-03 07:13:00,1112.4,,,,
21,reheat,0.0,0.0,,,,,,,8.899999999441206,1,,,,1.0,[],2020-03-03 07:13:00,1112.4,,,,,2020-03-03 07:16:00,,,,,
22,open,0.0,0.0,,,,,,,3.5,1,,,,,[],2020-03-03 07:17:00,1266.7,,,,,2020-03-03 07:19:00,1026.4,,,,
23,reheat,0.0,0.0,,,,,,,23.199999999254945,1,,,,1.0,[],2020-03-03 07:19:00,1026.4,,,,,2020-03-03 07:27:00,,,,,
24,hold,0.0,0.0,,,,,,,9.0,1,,,,,[],2020-03-03 07:27:00,1278.2,,,,,2020-03-03 07:32:00,1284.0,,,1278.3333333333333,
25,open,0.0,0.0,,,,,,,10.700000000186263,1,,,,,[],2020-03-03 07:32:00,1284.0,,,,,2020-03-03 07:40:00,1103.1,,,,
26,reheat,0.0,0.0,,,,,,,7.2000000001862645,1,,,,0.0,[],2020-03-03 07:40:00,1103.1,,,,,2020-03-03 07:42:00,,,,,
27,open,0.0,0.0,,,,,,,3.5,1,,,,,[],2020-03-03 07:42:00,1253.6,,,,,2020-03-03 07:44:00,1003.2,,,,
28,reheat,0.0,0.0,,,,,,,19.700000000186265,1,,,,0.0,[],2020-03-03 07:44:00,1003.2,,,,,2020-03-03 07:50:00,,,,,
29,open,0.0,0.0,,,,,,,3.599999999627471,1,,,,,[],2020-03-03 07:52:00,1283.6,,,,,2020-03-03 07:55:00,1214.5,,,,
30,reheat,0.0,0.0,,,,,,,26.800000000745055,1,,,,3.0,[],2020-03-03 07:55:00,1214.5,,,,,2020-03-03 08:10:00,,,,,
31,hold,0.0,0.0,,,,,,,28.699999999254945,1,,,,,[],2020-03-03 08:10:00,1268.4,,,,,2020-03-03 08:26:00,1269.3,,,1255.9176470588236,
32,open,0.0,0.0,,,,,,,12.5,1,,,,,[],2020-03-03 08:26:00,1269.3,,,,,2020-03-03 08:34:00,1174.5,,,,
33,reheat,0.0,0.0,,,,,,,10.800000000745056,1,,,,1.0,[],2020-03-03 08:34:00,1174.5,,,,,2020-03-03 08:38:00,,,,,
